region,sensitivity,specificity,PPV,NPV,subject
roiAD_6,68.91874434827542,95.96671837540545,94.9119373776908,73.8790576484638,C1
roiAD_6,67.96042617960426,95.77363896848138,94.7815319299487,72.57626750624253,C2
roiAD_6,70.5553016453382,95.82550917232415,95.52908415841584,72.02258169579851,C3
roiAD_6,70.35152636447734,95.69536423841059,95.31568228105907,72.16371729453914,C4
roiAD_6,71.0631040363843,95.72085008615738,95.44899205864385,72.36999240039084,C5
roiAD_6,69.28171166581762,95.88210407558877,94.90579204466155,73.81391814135273,C6
roiAD_6,69.6155682903534,95.9274715786444,95.37127903173045,72.36999240039084,C7
roiAD_6,72.36812316051619,95.85162112416819,95.6177086449297,73.49907719031593,C8
roiAD_6,70.24813298000481,95.8617747440273,95.24742773150416,73.18423623927912,C9
roiAD_6,70.60871653259694,95.87468103203855,95.28515878159429,73.42308109868635,C10
roiAD_6,70.94027064862343,95.79472558802567,95.3732747804266,72.95624796439041,C11
roiAD_6,70.27318475916606,95.96463710252388,95.396877033181525,73.06481380957551,C12
roiAD_6,69.58780741253896,95.80480699198834,95.43942992874109,71.4037563782434,C13
roiAD_6,72.40523913474895,95.82712369597616,96.30460604460869,69.80783845402236,C14
roiAD_6,67.83697520255339,95.88303753273203,95.12824926837665,71.55574856150255,C15
roiAD_6,68.54868797413258,95.75809687589567,94.90358126721763,72.54369775268701,C16
roiAD_6,66.15089514066497,95.99298040362679,94.96970809619974,71.26262077950277,C17
roiAD_6,71.68205251168925,96.01850553764194,95.46543190164458,74.35674736727826,C18
roiAD_6,69.81976810928711,95.69642337888922,95.3590467231107,71.45803930083595,C19
roiAD_6,72.99946149703823,96.01833285591522,96.06009070294785,72.78254261209423,C20
roiAD_6,69.54053340374968,95.71606821017608,94.4583931133429,74.95385951579632,C21
roiAD_6,72.21974593269445,95.80718767826582,95.66051660516605,72.93453479535337,C22
roiAD_6,72.39021262955444,95.89060917378093,95.97676724748548,71.94658560416893,C23
roiAD_6,68.24669372790363,95.86099731600508,94.67756584922797,73.6727825426121,C24
roiAD_6,68.69025450031036,95.62544674767692,94.75937660558314,72.61969384431659,C25
