method,region,roi,sensitivity,specificity,PPV,NPV,subject
SCC,ROI 4,10,83.55335071050197,95.57185164292764,96.93688420641888,77.60219855719684,C1
SCC,ROI 4,10,83.14304354917633,95.50143266475644,97.012084879627,76.33115767777396,C2
SCC,ROI 4,10,84.46906202171853,95.36328181424238,97.30501217362102,75.59830527882744,C3
SCC,ROI 4,10,84.74134183451673,95.40742873596314,97.34498543487308,75.88457574716593,C4
SCC,ROI 4,10,84.5108896271687,95.27570361861,97.2061820652174,75.97618229703423,C5
SCC,ROI 4,10,83.90663390663391,95.44493019320264,96.94360333081,77.49914118859499,C6
SCC,ROI 4,10,83.87967605090628,95.59648870341056,97.26321438154012,76.06778884690254,C7
SCC,ROI 4,10,85.54234338747099,95.4127141441314,97.32717373370733,77.16706744532235,C8
SCC,ROI 4,10,83.80044843049326,95.42093287827076,97.01492537313432,76.83499370204969,C9
SCC,ROI 4,10,84.49516441005804,95.39268500141765,97.11008358527477,77.05255925798694,C10
SCC,ROI 4,10,84.93008803728638,95.45260156806845,97.29638104924146,76.67468223978014,C11
SCC,ROI 4,10,84.47973127719673,95.53686011692572,97.24931892081904,76.7204855147143,C12
SCC,ROI 4,10,84.21852387843704,95.44064093226513,97.38119143239624,75.02576434215045,C13
SCC,ROI 4,10,85.3823325124708,95.64828614008944,97.88620240335892,73.49135463185618,C14
SCC,ROI 4,10,83.2548807778378,95.47570555717196,97.1981981981982,75.1517233482194,C15
SCC,ROI 4,10,83.31733077292367,95.27085124677558,96.92823233733594,76.12504294057025,C16
SCC,ROI 4,10,81.84299776656464,95.61275226674466,97.0570924072984,74.8654528798809,C17
SCC,ROI 4,10,85.12872365248502,95.62596383008552,97.22839122323887,78.10603458147257,C18
SCC,ROI 4,10,84.06653534690304,95.2166327420762,97.22409719878502,74.99141188594984,C19
SCC,ROI 4,10,85.23136802652444,95.73188198224004,97.54186257527014,76.53727241497768,C20
SCC,ROI 4,10,84.22439439014025,95.34174407320116,96.7203513909224,78.74728043055079,C21
SCC,ROI 4,10,85.52472858866103,95.45065601825442,97.42159715486582,76.64032978357953,C22
SCC,ROI 4,10,85.5437215928363,95.5288670235856,97.6081740072761,75.59830527882744,C23
SCC,ROI 4,10,83.0370055295619,95.19706173188304,96.63399663399665,77.16706744532235,C24
SCC,ROI 4,10,83.3453670276775,95.16797712651896,96.84907243404494,76.2281003091721,C25
SPM,ROI 4,10,22.581560283687946,95.0923706106332,69.58041958041959,71.1887668918919,C1
SPM,ROI 4,10,22.9517091698318,95.01432664756447,70.85427135678391,70.0168918918919,C2
SPM,ROI 4,10,28.500864410965672,95.002166690741,76.93333333333334,69.4362331081081,C3
SPM,ROI 4,10,24.102428722280887,94.97552548229196,72.34548335974644,69.64738175675676,C4
