region,roi,sens_SCC,se_sens_SCC,sens_SPM,se_sens_SPM,p_sens,sig_sens,spec_SCC,se_spec_SCC,spec_SPM,se_spec_SPM,p_spec,sig_spec,ppv_SCC,se_ppv_SCC,ppv_SPM,se_ppv_SPM,p_ppv,sig_ppv,npv_SCC,se_npv_SCC,npv_SPM,se_npv_SPM,p_npv,sig_npv,lrpos_SCC,se_lrpos_SCC,lrpos_SPM,se_lrpos_SPM,p_lrpos,sig_lrpos,lrneg_SCC,se_lrneg_SCC,lrneg_SPM,se_lrneg_SPM,p_lrneg,sig_lrneg
w32,1,0.27999999999999997,0.27999999999999997,0,0,0.6332520158706378,,91.11,0.06,95.15,0.04,NA,,0,0,0,0,0.6332520158706378,,99.83999999999999,0.01,99.83999999999999,0.01,0,***,0.03,0.03,0,0,NA,,1.09,0,1.05,0,0,***
w32,4,3.95,1.04,0,0,5.383383468990921e-4,***,91.05,0.06,95.42,0.04,NA,,0.06999999999999999,0.02,0,0,0.022232219884820048,*,99.83999999999999,0.01,99.83999999999999,0.01,1,,0.44,0.12,0,0,NA,,1.05,0.01,1.05,0,1,
w32,8,15.25,1.91,0,0,5.773159728050814e-15,***,90.94,0.06,95.42,0.04,NA,,0.25,0.03,0,0,5.19671685017542e-7,***,99.86,0.01,99.83999999999999,0.01,5.19671685017542e-7,***,1.68,0.21,0,0,NA,,0.93,0.02,1.05,0,5.19671685017542e-7,***
w214,1,16.33,0.32,21.57,0.35000000000000003,0,***,91.08000000000001,0.06,97.5,0.03,NA,,9.71,0.19,33.629999999999995,0.5,0,***,94.88,0.05,95.49,0.04,0,***,1.83,0.04,8.63,0.18,0,***,0.92,0,0.8,0,0,***
w214,4,55.22,0.42,49.72,0.43,0,***,90.18,0.06,90.99000000000001,0.06,0,***,24.82,0.25,24.47,0.26,0.0013861354455597663,**,97.17,0.04,96.86,0.04,0,***,5.62,0.06,5.52,0.06,0.0013861354455597663,**,0.5,0,0.55,0,0,***
w214,8,73.46000000000001,0.38,75.71,0.37,0,***,90.84,0.06,89.73,0.06,0,***,32.029999999999994,0.26,30.209999999999997,0.25,0,***,98.31,0.03,98.44000000000001,0.03,0,***,8.02,0.07,7.37,0.06,0,***,0.29,0,0.27,0,0,***
w271,1,15.18,0.26,2.09,0.1,0,***,90.86,0.06,94.91000000000001,0.05,NA,,12.31,0.21,3.35,0.16,0,***,92.69,0.05,91.97999999999999,0.06,0,***,1.66,0.03,0.41,0.02,0,***,0.93,0,1.03,0,0,***
w271,4,58.34,0.35000000000000003,53.93,0.36,0,***,89.69,0.06,89.56,0.06,7.399377859262923e-5,***,32.34,0.25,30.380000000000003,0.25,0,***,96.22,0.04,95.83,0.04,0,***,5.66,0.05,5.16,0.05,0,***,0.46,0,0.51,0,0,***
w271,8,76.16000000000001,0.31,80.28,0.29,0,***,89.96,0.06,87.58,0.06999999999999999,0,***,39.06,0.25,35.33,0.22999999999999998,0,***,97.81,0.03,98.13,0.03,0,***,7.59,0.06,6.47,0.04,0,***,0.26,0,0.23,0,0,***
roiAD,1,28.46,0.54,11.24,0.38,0,***,91.53,0.06,95.69,0.04,NA,,8.85,0.19,7.01,0.24,0,***,97.78999999999999,0.03,97.39,0.03,0,***,3.36,0.07,2.61,0.09,0,***,0.78,0.01,0.93,0,0,***
roiAD,4,74.3,0.52,51.349999999999994,0.6,0,***,89.92,0.06,95.22,0.04,NA,,17.560000000000002,0.22,23.7,0.35000000000000003,0,***,99.18,0.02,98.54,0.02,0,***,7.37,0.07,10.74,0.16,0,***,0.29,0.01,0.51,0.01,0,***
roiAD,8,87.86,0.38999999999999996,79.32000000000001,0.49,0,***,90.24,0.06,94.39999999999999,0.05,NA,,20.65,0.24,29.049999999999997,0.33,0,***,99.61,0.01,99.37,0.02,0,***,9,0.07,14.16,0.15,0,***,0.13,0,0.22,0.01,0,***
